-1.050e-2 0.000000
-1.000e-2 0.000000 1
-9.500e-3 0.156434 1
-9.000e-3 0.309017 1
-8.500e-3 0.453990 1
-8.000e-3 0.587785 1
-7.500e-3 0.707107 1
-7.000e-3 0.809017 1
-6.500e-3 0.891007 1
-6.000e-3 0.951057 1
-5.500e-3 0.987688 1
-5.000e-3 1.000000 1
-4.500e-3 0.987688 1
-4.000e-3 0.951057 1
-3.500e-3 0.891007 1
-3.000e-3 0.809017 1
-2.500e-3 0.707107 1
-2.000e-3 0.587785 1
-1.500e-3 0.453990 1
-1.000e-3 0.309017 1
-9.500e-4 0.294040 1
-9.000e-4 0.278991 1
-8.500e-4 0.263873 1
-8.000e-4 0.248690 1
-7.500e-4 0.233445 1
-7.000e-4 0.218143 1
-6.500e-4 0.202787 1
-6.000e-4 0.187381 1
-5.500e-4 0.171929 1
-5.000e-4 0.156434 1
-4.500e-4 0.140901 1
-4.000e-4 0.125333 1
-3.500e-4 0.109734 1
-3.000e-4 0.094108 1
-2.500e-4 0.078459 1
-2.000e-4 0.062791 1
-1.500e-4 0.047106 1
-1.000e-4 0.031411 1
-9.500e-5 0.029841 1
-9.000e-5 0.028271 1
-8.500e-5 0.026700 1
-8.000e-5 0.025130 1
-7.500e-5 0.023560 1
-7.000e-5 0.021989 1
-6.500e-5 0.020419 1
-6.000e-5 0.018848 1
-5.500e-5 0.017278 1
-5.000e-5 0.015707 1
-4.500e-5 0.014137 1
-4.000e-5 0.012566 1
-3.500e-5 0.010995 1
-3.000e-5 0.009425 1
-2.500e-5 0.007854 1
-2.000e-5 0.006283 1
-1.500e-5 0.004712 1
-1.000e-5 0.003142 1
-5.000e-6 0.001571 1
0.       0.000000 1
1.000e-4 0.000000 20
1.000e-3 0.000000 18
1.050e-2 0.000000 19
